Journey:1,Start Time:,11:38:58
Lat,Lng,Time
35.160775,33.342298,00:08:25
35.160775,33.3422982,00:08:26
35.160775,33.3422982,00:08:27
35.160775,33.3422982,00:08:28
35.160775,33.3422982,00:08:29
35.160775,33.3422982,00:08:30
35.1607746,33.3422999,00:08:31
35.1607746,33.3422999,00:08:32
35.1607746,33.3422999,00:08:33
35.1607746,33.3422999,00:08:34
35.1607746,33.3422999,00:08:35
35.1607747,33.3422999,00:08:36
35.1607747,33.3422999,00:08:37
35.1607747,33.3422999,00:08:38
35.1607747,33.3422999,00:08:39
35.1607747,33.3422999,00:08:40
35.1607742,33.3423013,00:08:41
35.1607742,33.3423013,00:08:42
35.1607742,33.3423013,00:08:43
35.1607742,33.3423013,00:08:44
35.1607742,33.3423013,00:08:45
35.1607742,33.3423013,00:08:46
35.1607742,33.3423013,00:08:47
35.1607742,33.3423013,00:08:48
35.1607742,33.3423013,00:08:49
35.1607742,33.3423013,00:08:50
35.1607735,33.3423036,00:08:51
35.1607735,33.3423036,00:08:52
35.1607735,33.3423036,00:08:53
35.1607735,33.3423036,00:08:54
35.1607735,33.3423036,00:08:55
